sale_id,customer_id,product_id,quantity,sale_amount,sale_date,region
36adbb27-3cdc-44b5-82c8-1b670efb147b,294,374,2,821.52,2024-04-22,US
17fb14a5-f865-4ff3-b1fd-e5d985194439,477,461,10,4679.41,2024-12-23,APAC
1f671b6a-5c09-490c-8c11-8f110d25e0c3,726,227,7,125.16,2024-04-27,US
2a4ec8b8-83f3-4c51-972c-6f49383edeca,607,30,3,930.72,2025-05-24,US
56a2a46e-2ef9-446e-9535-9900ff819b8f,737,209,4,1812.93,2025-05-09,EU
9d9e1a0e-a203-4319-9608-dbda64030cfe,900,481,7,1976.61,2025-02-18,APAC
5d212c33-adab-457e-9fba-7deb5f231445,784,378,,421.03,2024-07-02,EU
4f557902-a3b0-4a48-a2bb-d837bd52c28a,290,284,4,1863.87,2024-08-15,US
b1abaa9d-edd2-4d27-9911-72b7a9dfa4e3,745,470,2,205.2,2025-05-29,US
973badb4-d59b-4647-a933-648907a639b7,138,242,,57.91,2024-12-22,APAC
e1c66052-ff4f-4dd4-8727-760c28956498,384,113,10,2096.37,2025-05-25,US
ed16ff8f-8bf9-462a-a7b8-ed32357fbc93,24,459,6,788.1,2024-08-02,APAC
128c4d46-2d35-4660-9ddc-baa03552061c,566,459,8,2137.71,2025-07-03,APAC
8d41234e-59f4-4bc8-b0a0-43622ef11b30,100,351,10,2093.45,2024-01-14,EU
e2e8e68d-edb0-4104-bef3-ff1e5928414f,249,233,9,1458.15,2024-09-19,US
63d73b3a-d811-4747-93fb-f28c2d05ec44,850,405,10,4335.96,2025-06-04,APAC
3cdfea51-75eb-4aac-9821-75158a3e42d0,26,455,7,174.46,2025-03-10,EU
f84d225e-97ea-46b5-9b6c-412427f90e63,217,358,5,1869.0,2024-01-05,APAC
c362cd72-6d59-48e7-8053-7b5c1c78084c,650,158,6,453.35,2024-03-12,US
7f608ef0-86af-4a11-8f1b-4e3b5e69f63d,751,207,6,1512.4,2025-05-06,US
097b912f-b4f9-46c9-9d49-e4dc7db388b8,649,448,4,737.26,2024-03-16,EU
8f00e07d-735f-4105-b38a-500947cca906,759,320,4,998.27,2025-04-24,EU
b391bb8b-69fc-45f3-afed-e60a3a11ea46,586,340,5,1168.9,2024-12-16,US
20205c5c-9fa0-4f70-b03c-1c982253d6c9,96,386,3,1076.27,2024-12-23,APAC
e201a427-a44e-4342-ac6b-ffea05329633,816,196,7,558.25,2025-01-30,APAC
6bf3b351-1a07-42fd-bf60-5fc9602e6348,834,164,4,170.02,2024-08-29,EU
3c8a4930-f645-4871-9255-e8fe416c5cd4,225,236,7,2685.33,2025-02-12,APAC
cc27122e-76ee-404a-a4fc-eb00d77f598d,617,402,9,4242.52,2024-01-23,US
a0903bf2-2704-4644-9ffd-db4fd3222160,619,186,4,1733.82,2024-06-10,EU
814b18ce-8ff7-4a6c-8ea2-c5a8297bfbe1,125,414,7,3151.38,2024-09-16,EU
c7db9cec-2870-472b-b64b-dc9528f0d751,815,108,2,784.71,2025-03-24,EU
66c4548c-f4a4-4441-89de-85f4fff5d9f1,194,80,10,3482.41,2024-11-13,EU
18701e24-0fdc-4c4d-a664-4875fb54192a,481,160,2,435.58,2024-06-27,EU
744fa5c6-41a6-4154-89f5-679613cc7c64,936,441,7,452.18,2024-02-23,APAC
af9f97cb-3c70-4ee7-af87-e1dd6e545530,172,69,5,734.72,2024-10-22,APAC
4f672155-a91b-499c-9344-6ce022f523fa,733,57,7,3384.96,2024-08-02,US
b4520ea4-1ad0-4926-8805-3d6be6667049,791,229,5,1054.4,2024-11-07,APAC
70ccf724-973a-4b6c-bd9e-70708f052381,710,262,1,56.63,2024-07-15,US
34a8471c-57f6-450c-9632-634476f82a70,312,294,10,3391.39,2024-04-19,APAC
dd07e208-6af4-42c7-848b-0ad328f199eb,830,239,4,1077.77,2025-02-05,APAC
e1c3059f-6d56-4575-acf5-730f98fb3be2,257,384,2,75.18,2024-07-30,APAC
d6b55624-6212-4d61-8193-a39c6b589724,658,70,9,2275.36,2024-03-04,EU
